Real_Estate_Id,Deeded_Acreage,Total_Sale_Price,Total_Sale_Date,Month_Year_of_Sale,Year_of_Sale,Year_Built,Year_Remodeled,Heated_Area,Num_Stories,Design_Style,Bath,Utilities,Physical_City,Physical_Zip
87,0.63,355000,12/27/13,13-Dec,2013,1967,1967,3106,One Story,Split level,3 Bath,ALL,Raleigh,27604
95,0.32,75000,7/29/92,Jul-92,1992,1968,1968,1579,One Story,Ranch,1 ½ Bath,ALL,Garner,27529
96,0.31,660000,6/16/17,17-Jun,2017,1949,1949,3181,One Story,Conventional,3 Bath,ALL,Raleigh,27609
97,0.47,122000,1/31/89,Jan-89,1989,1969,1969,2152,One Story,Split level,2½ Bath,ALL,Raleigh,27612
100,0.31,725000,9/27/13,13-Sep,2013,2004,2019,4255,Other,Conventional,3½ Bath,ALL,Raleigh,27608
101,0.23,201000,6/10/10,10-Jun,2010,1956,1956,1400,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27607
102,0.35,365000,6/27/13,13-Jun,2013,1956,1956,1885,One Story,Conventional,3 Bath,ALL,Raleigh,27607
103,0.29,120000,11/16/04,4-Nov,2004,1971,1971,1518,One Story,Split level,1 ½ Bath,ALL,Apex,27502
104,0.39,145000,4/1/96,Apr-96,1996,1971,1971,1896,One Story,Split level,2½ Bath,ALL,Raleigh,27615
105,0.07,49000,12/31/01,1-Dec,2001,1949,1949,644,One Story,Conventional,1 Bath,ALL,Raleigh,27601
107,0.04,36500,1/1/77,Jan-77,1977,1969,1969,1472,Other,Townhouse,2½ Bath,ALL,Raleigh,27607
109,0.47,210000,5/24/21,21-May,2021,1962,1962,950,One Story,Conventional,1 Bath,ALL,Wake Forest,27587
112,0.32,270000,7/6/15,15-Jul,2015,1969,1969,1875,One Story,Split level,2 Bath,ALL,Raleigh,27609
113,0.64,17500,1/1/69,Jan-69,1969,1964,1964,1300,One Story,Conventional,1 ½ Bath,E,Raleigh,27603
